"TABLE_NAME";"COLUMN_NAME";"DATA_TYPE";"DATA_LENGTH";"CHAR_LENGTH";"NULLABLE";"DATA_PRECISION";"DATA_SCALE"
"AAA_COLE_RI_87";"PRO_NUMERO";"NUMBER";"22";"0";"N";"8";"0"
"AAA_COLE_RI_87";"PRO_ITEM";"NUMBER";"22";"0";"N";"3";"0"
"AAA_COLE_RI_87";"CUE_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AAA_COLE_RI_87";"CSUC_NUMERO";"NUMBER";"22";"0";"N";"4";"0"
"AAA_COLE_RI_87";"COLE_FECHA";"DATE";"7";"0";"N";"";""
"AAA_COLE_RI_87";"COLE_CAMION";"NUMBER";"22";"0";"N";"5";"0"
"AAA_COLE_RI_87";"EPRC_CODIGO";"NUMBER";"22";"0";"N";"2";"0"
"AAA_COLE_RI_87";"COLE_MARCA";"VARCHAR2";"40";"40";"Y";"";""
"AAA_ORDENESPAGOIMPPLA_AUX2";"TOP_CODIGO";"NUMBER";"22";"0";"N";"2";"0"
"AAA_ORDENESPAGOIMPPLA_AUX2";"OPA_NUMERO";"NUMBER";"22";"0";"N";"8";"0"
"AAA_ORDENESPAGOIMPPLA_AUX2";"OPIP_ITEM";"NUMBER";"22";"0";"N";"3";"0"
"AAA_ORDENESPAGOIMPPLA_AUX2";"PLA_CODIGO";"NUMBER";"22";"0";"N";"9";"0"
"AAA_ORDENESPAGOIMPPLA_AUX2";"OPIP_IMPORTE";"NUMBER";"22";"0";"N";"12";"2"
"AAA_ORDENESPAGOIMPPLA_AUX2";"OPIP_OBSERV";"VARCHAR2";"300";"300";"Y";"";""
"AAA_ORDENESPAGOIMPPLA_AUX2";"CEN_CODIGO";"NUMBER";"22";"0";"Y";"5";"0"
"AAA_ORDENESPAGOIMPPLA_AUX2";"OPIP_CANTIDAD";"NUMBER";"22";"0";"Y";"11";"2"
"AAA_ORDENESPAGOIMPPLA_AUX2";"TRO_NROINT";"NUMBER";"22";"0";"Y";"8";"0"
"AAA_ORDENESPAGOIMPPLA_AUX2";"LOT_NUMERO";"NUMBER";"22";"0";"Y";"8";"0"
"AAA_ORDENESPAGOIMPPLA_AUX2";"PROY_NUMERO";"NUMBER";"22";"0";"N";"8";"0"
"AAA_ORDENESPAGOIMPPLA_AUX2";"OPIP_FECDEVENG";"DATE";"7";"0";"N";"";""
"AA_CASO_APOCRIFOS";"APO_CUIT";"NUMBER";"22";"0";"Y";"11";"0"
"AA_CASO_APOCRIFOS";"APO_FECDETECCION";"DATE";"7";"0";"Y";"";""
"AA_CASO_APOCRIFOS";"APO_FECINFORMADO";"DATE";"7";"0";"Y";"";""
"AA_DATOS_COMPLETOS";"TOP_CODIGO";"NUMBER";"22";"0";"N";"2";"0"
"AA_DATOS_COMPLETOS";"OPA_NUMERO";"NUMBER";"22";"0";"N";"8";"0"
"AA_DATOS_COMPLETOS";"OPIP_ITEM";"NUMBER";"22";"0";"N";"3";"0"
"AA_DATOS_COMPLETOS";"PLA_CODIGO";"NUMBER";"22";"0";"N";"9";"0"
"AA_DATOS_COMPLETOS";"OPIP_IMPORTE";"NUMBER";"22";"0";"N";"12";"2"
"AA_DATOS_COMPLETOS";"OPIP_OBSERV";"VARCHAR2";"300";"300";"Y";"";""
"AA_DATOS_COMPLETOS";"CEN_CODIGO";"NUMBER";"22";"0";"Y";"5";"0"
"AA_DATOS_COMPLETOS";"OPIP_CANTIDAD";"NUMBER";"22";"0";"Y";"11";"2"
"AA_DATOS_COMPLETOS";"TRO_NROINT";"NUMBER";"22";"0";"Y";"8";"0"
"AA_DATOS_COMPLETOS";"LOT_NUMERO";"NUMBER";"22";"0";"Y";"8";"0"
"AA_DATOS_COMPLETOS";"PROY_NUMERO";"NUMBER";"22";"0";"N";"8";"0"
"AA_DATOS_COMPLETOS";"OPIP_FECDEVENG";"DATE";"7";"0";"Y";"";""
"AA_JORGE_PRODUCTOS_CAMARA";"PRO_NUMERO";"NUMBER";"22";"0";"N";"8";"0"
"AA_JORGE_PRODUCTOS_CAMARA";"PRO_ITEM";"NUMBER";"22";"0";"N";"3";"0"
"AA_JORGE_PRODUCTOS_CAMARA";"USU_CODIGO";"NUMBER";"22";"0";"N";"8";"0"
"AA_JORGE_PRODUCTOS_CAMARA";"USU_DENOM";"VARCHAR2";"50";"50";"N";"";""
"AA_JORGE_PRODUCTOS_CAMARA";"KIL";"NUMBER";"22";"0";"Y";"";""
"AA_JORGE_PRODUCTOS_CAMARA";"MED";"NUMBER";"22";"0";"Y";"";""
